pitcher,pitch_type_label,count,avg_release_speed_mph,avg_ivb_in,avg_hb_in,avg_hb_in_mirrored,total_pitches,usage_pct,throws
ARN-4047,Sinker,24,93.268,5.254,-17.193,17.193,386,0.062,R
ARN-4342,Fastball,30,88.319,13.99,18.117,18.117,91,0.33,L
ARN-4342,Changeup,23,79.814,8.663,17.155,17.155,91,0.253,L
ARN-4342,Slider,20,78.058,-0.007,-5.251,-5.251,91,0.22,L
ARN-4342,Cutter,7,84.468,8.767,3.589,3.589,91,0.077,L
ARN-4342,Curveball,6,76.413,-5.144,-10.811,-10.811,91,0.066,L
ARN-4342,Sinker,5,87.762,5.295,21.651,21.651,91,0.055,L
ARN-4509,Fastball,186,93.713,17.128,-10.292,10.292,357,0.521,R
ARN-4509,Slider,104,82.026,-5.643,4.844,-4.844,357,0.291,R
ARN-4509,Curveball,23,79.936,-10.91,10.808,-10.808,357,0.064,R
ARN-4868,Fastball,15,94.756,18.759,-4.864,4.864,30,0.5,R
ARN-4868,Slider,9,84.029,3.06,8.037,-8.037,30,0.3,R
ARN-5103,Fastball,122,88.798,17.058,-5.941,5.941,237,0.515,R
ARN-5103,Changeup,42,80.658,7.984,-15.863,15.863,237,0.177,R
ARN-5103,Curveball,40,74.046,-10.249,8.116,-8.116,237,0.169,R
ARN-5103,Cutter,24,86.774,11.129,1.631,-1.631,237,0.101,R
ARN-5136,Fastball,21,91.238,12.573,-11.238,11.238,52,0.404,R
ARN-5136,Slider,17,79.918,-1.299,3.078,-3.078,52,0.327,R
ARN-5136,Changeup,8,85.37,6.223,-18.334,18.334,52,0.154,R
ARN-5718,Fastball,164,90.432,17.62,-5.478,5.478,363,0.452,R
ARN-5718,Slider,113,83.201,-0.919,3.629,-3.629,363,0.311,R
ARN-5718,Changeup,47,84.006,7.426,-10.857,10.857,363,0.129,R
ARN-5718,Curveball,19,83.761,-0.57,2.765,-2.765,363,0.052,R
ARN-5841,Fastball,8,93.117,15.609,-4.558,4.558,18,0.444,R
ARN-5841,Slider,7,81.103,8.41,11.919,-11.919,18,0.389,R
ARN-6654,Slider,36,82.805,4.774,3.996,-3.996,82,0.439,R
ARN-6654,Fastball,33,91.7,17.83,-13.17,13.17,82,0.402,R
ARN-6654,Cutter,6,85.826,10.195,-1.88,1.88,82,0.073,R
ARN-6657,Fastball,214,92.72,16.106,-12.962,12.962,516,0.415,R
ARN-6657,Slider,106,86.009,9.619,-2.577,2.577,516,0.205,R
ARN-6657,Changeup,74,86.793,8.812,-14.986,14.986,516,0.143,R
ARN-6657,Cutter,56,90.812,13.811,-4.932,4.932,516,0.109,R
ARN-6657,Curveball,39,86.907,3.165,-6.609,6.609,516,0.076,R
ARN-6657,Sinker,27,92.36,9.598,-13.415,13.415,516,0.052,R
ARN-7104,Fastball,11,89.187,11.954,9.341,9.341,24,0.458,L
ARN-7104,Slider,9,80.463,3.89,-5.069,-5.069,24,0.375,L
ARN-7290,Fastball,101,91.044,13.118,-14.234,14.234,323,0.313,R
ARN-7290,Sinker,70,91.154,6.225,-16.369,16.369,323,0.217,R
ARN-7290,Slider,58,83.884,9.48,0.66,-0.66,323,0.18,R
ARN-7290,Changeup,40,84.358,10.959,-17.306,17.306,323,0.124,R
ARN-7290,Curveball,30,84.269,0.759,-0.173,0.173,323,0.093,R
ARN-7290,Cutter,24,89.28,11.112,-7.594,7.594,323,0.074,R
ARN-7522,Fastball,71,95.573,18.79,-14.043,14.043,153,0.464,R
ARN-7522,Slider,23,87.729,9.446,-1.946,1.946,153,0.15,R
ARN-7522,Cutter,19,93.215,15.69,-6.953,6.953,153,0.124,R
ARN-7522,Curveball,17,86.772,3.493,1.306,-1.306,153,0.111,R
ARN-7522,Sinker,16,95.321,12.552,-14.138,14.138,153,0.105,R
ARN-7828,Fastball,17,89.452,18.183,-6.553,6.553,34,0.5,R
ARN-7828,Changeup,8,81.267,6.881,-13.152,13.152,34,0.235,R
ARN-7828,Slider,5,77.784,4.702,5.09,-5.09,34,0.147,R
ARN-7862,Fastball,110,95.109,18.113,-5.519,5.519,221,0.498,R
ARN-7862,Changeup,44,87.326,11.277,-12.824,12.824,221,0.199,R
ARN-7862,Slider,40,83.052,0.587,6.392,-6.392,221,0.181,R
ARN-7862,Curveball,21,81.117,-4.184,7.276,-7.276,221,0.095,R
ARN-7882,Fastball,371,89.311,12.939,-13.15,13.15,910,0.408,R
ARN-7882,Cutter,169,85.661,9.835,-0.812,0.812,910,0.186,R
ARN-7882,Changeup,119,80.128,6.345,-15.711,15.711,910,0.131,R
ARN-7882,Curveball,113,75.539,-5.332,5.941,-5.941,910,0.124,R
ARN-7882,Sinker,70,89.221,4.701,-14.773,14.773,910,0.077,R
ARN-7882,Slider,68,77.766,2.031,2.708,-2.708,910,0.075,R
ARN-7921,Fastball,36,89.392,17.036,12.974,12.974,80,0.45,L
ARN-7921,Changeup,27,81.129,11.625,13.781,13.781,80,0.338,L
ARN-7921,Curveball,14,75.479,-11.004,-11.197,-11.197,80,0.175,L
ARN-8030,Slider,42,84.018,9.418,-1.811,1.811,104,0.404,R
ARN-8030,Fastball,29,92.069,16.019,-12.372,12.372,104,0.279,R
ARN-8030,Changeup,18,83.953,10.511,-9.145,9.145,104,0.173,R
ARN-8030,Curveball,6,85.565,2.429,-6.067,6.067,104,0.058,R
ARN-9290,Fastball,270,90.381,15.98,-4.132,4.132,516,0.523,R
ARN-9290,Slider,124,79.384,1.084,12.089,-12.089,516,0.24,R
ARN-9290,Curveball,52,77.0,-5.264,17.736,-17.736,516,0.101,R
ARN-9290,Changeup,36,83.257,7.599,-5.157,5.157,516,0.07,R
ARN-9307,Fastball,59,87.028,20.232,7.727,7.727,148,0.399,L
ARN-9307,Cutter,29,83.528,13.329,-1.431,-1.431,148,0.196,L
ARN-9307,Changeup,25,79.913,11.384,13.429,13.429,148,0.169,L
ARN-9307,Slider,22,80.067,8.642,-3.066,-3.066,148,0.149,L
ARN-9307,Curveball,11,72.68,-0.841,-3.595,-3.595,148,0.074,L
ATL-1556,Fastball,41,91.274,19.792,8.456,8.456,74,0.554,L
ATL-1556,Curveball,12,81.615,3.914,2.745,2.745,74,0.162,L
ATL-1556,Changeup,11,82.524,11.949,12.782,12.782,74,0.149,L
ATL-1556,Cutter,6,90.619,16.987,4.035,4.035,74,0.081,L
ATL-2096,Fastball,19,85.677,15.432,-6.506,6.506,46,0.413,R
ATL-2096,Slider,10,80.63,8.347,2.922,-2.922,46,0.217,R
ATL-2096,Curveball,6,77.166,-5.098,0.978,-0.978,46,0.13,R
ATL-2096,Cutter,6,83.659,11.795,0.399,-0.399,46,0.13,R
ATL-6467,Changeup,9,78.777,17.972,9.448,9.448,32,0.281,L
ATL-6467,Fastball,9,88.923,17.653,11.593,11.593,32,0.281,L
ATL-6467,Slider,6,78.524,2.894,-9.096,-9.096,32,0.188,L
ATL-6467,Cutter,5,80.106,21.554,3.883,3.883,32,0.156,L
ATL-7532,Fastball,35,91.32,19.432,-8.697,8.697,68,0.515,R
ATL-7532,Curveball,12,73.55,-15.536,11.255,-11.255,68,0.176,R
ATL-7532,Changeup,8,84.653,10.639,-11.694,11.694,68,0.118,R
ATL-7532,Cutter,7,87.824,9.987,0.566,-0.566,68,0.103,R
ATL-8128,Fastball,5,91.863,15.056,-14.958,14.958,19,0.263,R
ATL-8262,Fastball,14,93.307,17.595,-9.389,9.389,25,0.56,R
ATL-8262,Slider,5,85.05,5.581,-0.853,0.853,25,0.2,R
ATL-8387,Fastball,36,92.868,17.377,-7.448,7.448,63,0.571,R
ATL-8387,Slider,14,82.592,5.969,2.506,-2.506,63,0.222,R
ATL-8387,Curveball,6,83.643,0.492,-1.86,1.86,63,0.095,R
ATL-9098,Slider,11,87.996,0.265,-4.359,-4.359,26,0.423,L
ATL-9098,Fastball,9,96.989,13.6,7.357,7.357,26,0.346,L
ATL-9098,Changeup,5,88.77,3.674,2.166,2.166,26,0.192,L
ATL-9318,Fastball,9,92.898,14.828,-12.696,12.696,27,0.333,R
ATL-9318,Slider,9,83.52,5.6,-2.89,2.89,27,0.333,R
ATL-9318,Changeup,6,83.526,3.592,-12.122,12.122,27,0.222,R
ATL-9429,Fastball,25,89.18,10.929,14.038,14.038,58,0.431,L
ATL-9429,Changeup,21,79.155,5.406,15.706,15.706,58,0.362,L
ATL-9429,Curveball,6,76.995,-7.315,-4.741,-4.741,58,0.103,L
ATL-9616,Fastball,16,91.377,13.622,-1.705,1.705,42,0.381,R
ATL-9616,Cutter,12,90.319,12.568,2.904,-2.904,42,0.286,R
ATL-9616,Changeup,7,80.843,-7.091,-9.505,9.505,42,0.167,R
ATL-9616,Curveball,5,79.746,-9.483,-14.766,14.766,42,0.119,R
AVV-3007,Fastball,7,85.636,15.648,11.001,11.001,16,0.438,L
AVV-3007,Slider,7,77.113,4.846,-10.845,-10.845,16,0.438,L
AVV-4208,Fastball,13,89.202,25.41,-4.387,4.387,26,0.5,R
AVV-4208,Changeup,7,80.284,15.86,-12.695,12.695,26,0.269,R
AVV-4813,Slider,21,85.481,6.596,6.567,-6.567,47,0.447,R
AVV-4813,Fastball,17,91.347,18.35,-7.927,7.927,47,0.362,R
AVV-4813,Changeup,6,85.996,10.511,-5.714,5.714,47,0.128,R
AVV-4833,Fastball,10,91.111,15.084,-15.208,15.208,25,0.4,R
AVV-4833,Slider,9,81.152,3.232,10.534,-10.534,25,0.36,R
AVV-5214,Sinker,22,90.682,3.301,-15.335,15.335,70,0.314,R
AVV-5214,Slider,22,80.895,8.027,7.607,-7.607,70,0.314,R
AVV-5214,Fastball,15,90.14,8.952,-13.458,13.458,70,0.214,R
AVV-5214,Cutter,6,87.608,8.615,-3.802,3.802,70,0.086,R
AVV-5733,Fastball,9,93.599,18.946,-6.965,6.965,20,0.45,R
AVV-5733,Slider,6,81.986,2.608,7.999,-7.999,20,0.3,R
BKO-0161,Fastball,43,91.938,13.276,8.967,8.967,89,0.483,L
BKO-0161,Slider,26,83.786,5.672,-2.913,-2.913,89,0.292,L
BKO-0161,Curveball,9,77.995,-1.643,-8.021,-8.021,89,0.101,L
BKO-0161,Sinker,6,91.358,5.962,13.815,13.815,89,0.067,L
BKO-3970,Fastball,16,91.679,20.715,-6.06,6.06,33,0.485,R
BKO-3970,Slider,10,81.246,-2.871,3.915,-3.915,33,0.303,R
BKO-4378,Fastball,14,95.108,10.276,12.975,12.975,31,0.452,L
BKO-4378,Slider,8,86.791,-0.575,0.827,0.827,31,0.258,L
BKO-4635,Fastball,11,94.044,16.866,-6.461,6.461,22,0.5,R
BKO-4635,Slider,7,83.562,3.902,4.808,-4.808,22,0.318,R
BKO-6588,Fastball,12,93.992,11.999,-15.025,15.025,49,0.245,R
BKO-6588,Changeup,10,87.076,5.511,-17.356,17.356,49,0.204,R
BKO-6588,Cutter,8,93.152,11.61,-12.014,12.014,49,0.163,R
BKO-6588,Sinker,8,92.913,6.488,-17.287,17.287,49,0.163,R
BKO-6588,Slider,7,86.382,4.497,-11.617,11.617,49,0.143,R
BKO-7847,Fastball,15,94.347,18.636,7.262,7.262,27,0.556,L
BTL-2397,Fastball,9,93.551,15.814,-10.245,10.245,22,0.409,R
BTL-2397,Slider,6,84.178,4.08,4.275,-4.275,22,0.273,R
BTL-2397,Sinker,5,93.838,5.893,-9.947,9.947,22,0.227,R
BTL-4408,Fastball,22,91.481,9.36,-12.598,12.598,57,0.386,R
BTL-4408,Slider,19,83.208,3.954,4.077,-4.077,57,0.333,R
BTL-4408,Changeup,6,85.666,3.146,-12.601,12.601,57,0.105,R
BTL-4408,Sinker,6,90.871,2.567,-13.799,13.799,57,0.105,R
BTL-5777,Fastball,11,89.092,14.835,10.946,10.946,22,0.5,L
BTL-5777,Slider,10,79.799,3.209,-7.329,-7.329,22,0.455,L
BTL-6953,Fastball,14,91.837,20.723,-12.63,12.63,22,0.636,R
BTL-7857,Fastball,33,97.052,15.929,-16.941,16.941,74,0.446,R
BTL-7857,Sinker,18,96.933,6.826,-20.036,20.036,74,0.243,R
BTL-7857,Curveball,10,82.201,-1.373,3.938,-3.938,74,0.135,R
BTL-7857,Cutter,5,94.02,10.615,-9.268,9.268,74,0.068,R
BTL-8873,Fastball,8,91.283,15.521,-17.841,17.841,27,0.296,R
BTL-8873,Cutter,6,89.58,15.04,-10.862,10.862,27,0.222,R
BTL-8873,Sinker,5,91.365,9.695,-15.278,15.278,27,0.185,R
BTL-8877,Slider,12,82.24,-5.712,12.08,-12.08,26,0.462,R
BTL-8877,Fastball,11,91.958,17.926,-4.13,4.13,26,0.423,R
BTL-8974,Fastball,32,92.25,14.143,-10.656,10.656,65,0.492,R
BTL-8974,Slider,15,78.668,2.07,9.6,-9.6,65,0.231,R
BTL-8974,Changeup,13,80.932,10.396,-14.134,14.134,65,0.2,R
BTL-8974,Curveball,5,77.763,-5.756,12.945,-12.945,65,0.077,R
BTL-9776,Fastball,10,88.129,14.308,13.155,13.155,27,0.37,L
BTL-9776,Changeup,9,80.555,6.72,13.41,13.41,27,0.333,L
BXH-0019,Fastball,25,86.646,13.599,-11.962,11.962,54,0.463,R
BXH-0019,Cutter,11,83.471,8.814,0.882,-0.882,54,0.204,R
BXH-0019,Curveball,8,72.813,-8.281,10.889,-10.889,54,0.148,R
BXH-0019,Slider,5,75.478,-5.717,6.88,-6.88,54,0.093,R
BXH-0603,Fastball,28,86.763,9.298,8.424,8.424,61,0.459,L
BXH-0603,Slider,14,77.968,0.336,-5.654,-5.654,61,0.23,L
BXH-0603,Sinker,9,86.552,2.136,12.117,12.117,61,0.148,L
BXH-0603,Cutter,7,84.829,10.547,2.339,2.339,61,0.115,L
BXH-2040,Fastball,7,93.932,14.317,-12.939,12.939,31,0.226,R
BXH-2040,Cutter,6,92.48,6.27,-6.821,6.821,31,0.194,R
BXH-2040,Sinker,6,94.237,3.756,-18.169,18.169,31,0.194,R
BXH-2040,Changeup,5,86.983,5.032,-15.909,15.909,31,0.161,R
BXH-2040,Slider,5,87.637,4.95,1.514,-1.514,31,0.161,R
BXH-5032,Fastball,23,95.973,13.201,-12.808,12.808,43,0.535,R
BXH-5032,Slider,8,88.243,3.96,-0.697,0.697,43,0.186,R
BXH-5181,Fastball,11,92.612,10.353,-13.94,13.94,19,0.579,R
BXH-5551,Fastball,18,94.487,13.606,-9.325,9.325,32,0.562,R
BXH-5551,Slider,9,75.507,-12.788,15.912,-15.912,32,0.281,R
BXH-5840,Fastball,16,90.985,13.185,-14.018,14.018,44,0.364,R
BXH-5840,Slider,13,83.041,6.003,4.509,-4.509,44,0.295,R
BXH-5840,Sinker,9,91.274,4.924,-14.317,14.317,44,0.205,R
BXH-9176,Fastball,27,89.57,17.635,-6.725,6.725,79,0.342,R
BXH-9176,Changeup,14,83.242,10.834,-10.929,10.929,79,0.177,R
BXH-9176,Cutter,13,86.732,11.467,0.424,-0.424,79,0.165,R
BXH-9176,Slider,11,83.284,8.001,3.017,-3.017,79,0.139,R
BXH-9176,Curveball,9,83.065,-0.783,-2.285,2.285,79,0.114,R
BXH-9176,Sinker,5,89.087,8.894,-11.131,11.131,79,0.063,R
BXH-9328,Cutter,6,89.625,10.743,-8.945,8.945,20,0.3,R
BXH-9328,Fastball,6,92.085,11.375,-15.111,15.111,20,0.3,R
BXH-9328,Sinker,5,91.785,8.326,-12.528,12.528,20,0.25,R
BXH-9957,Fastball,10,94.041,14.976,12.265,12.265,25,0.4,L
BXH-9957,Slider,8,86.46,6.923,-2.502,-2.502,25,0.32,L
CYU-1644,Fastball,6,92.782,19.269,-4.923,4.923,18,0.333,R
CYU-1660,Fastball,17,92.346,17.201,-13.778,13.778,54,0.315,R
CYU-1660,Slider,13,84.462,6.378,2.535,-2.535,54,0.241,R
CYU-1660,Changeup,12,83.149,4.238,-12.819,12.819,54,0.222,R
CYU-1660,Cutter,11,88.073,10.486,1.822,-1.822,54,0.204,R
CYU-1818,Fastball,11,88.323,8.504,-15.009,15.009,30,0.367,R
CYU-1818,Slider,6,80.044,3.472,-3.678,3.678,30,0.2,R
CYU-1818,Cutter,5,84.637,7.752,-5.457,5.457,30,0.167,R
CYU-2912,Fastball,34,91.598,16.764,-8.259,8.259,68,0.5,R
CYU-2912,Slider,17,82.979,2.303,4.642,-4.642,68,0.25,R
CYU-2912,Curveball,7,78.69,-5.664,8.987,-8.987,68,0.103,R
CYU-2912,Changeup,5,85.682,6.125,-12.763,12.763,68,0.074,R
CYU-4489,Fastball,24,85.865,12.481,8.652,8.652,64,0.375,L
CYU-4489,Changeup,14,80.855,7.287,12.624,12.624,64,0.219,L
CYU-4489,Cutter,9,85.49,7.323,-0.324,-0.324,64,0.141,L
CYU-4489,Slider,9,81.25,6.496,-4.537,-4.537,64,0.141,L
CYU-4489,Curveball,5,81.581,-3.521,-8.671,-8.671,64,0.078,L
CYU-7629,Slider,8,85.267,7.588,-1.246,1.246,25,0.32,R
CYU-7629,Fastball,7,95.34,9.447,-10.193,10.193,25,0.28,R
CYU-9123,Sinker,7,90.042,14.048,12.736,12.736,22,0.318,L
CYU-9123,Cutter,6,89.294,21.62,4.904,4.904,22,0.273,L
EMB-2973,Fastball,8,94.148,13.557,-9.334,9.334,19,0.421,R
EMB-3769,Fastball,24,89.586,14.182,-6.174,6.174,70,0.343,R
EMB-3769,Slider,16,82.755,7.177,4.207,-4.207,70,0.229,R
EMB-3769,Changeup,10,83.619,6.442,-6.469,6.469,70,0.143,R
EMB-3769,Curveball,8,80.412,-4.512,3.742,-3.742,70,0.114,R
EMB-3769,Cutter,6,85.258,8.92,1.692,-1.692,70,0.086,R
EMB-3769,Sinker,6,88.696,4.312,-5.231,5.231,70,0.086,R
EMB-6303,Fastball,16,93.138,11.131,-9.12,9.12,38,0.421,R
EMB-6303,Slider,8,87.639,2.216,5.292,-5.292,38,0.211,R
EMB-6619,Changeup,6,86.172,10.565,-12.854,12.854,23,0.261,R
EMB-6926,Fastball,29,90.806,9.192,-10.804,10.804,77,0.377,R
EMB-6926,Slider,12,84.719,5.201,-0.23,0.23,77,0.156,R
EMB-6926,Cutter,10,89.233,6.88,-3.19,3.19,77,0.13,R
EMB-6926,Changeup,9,85.728,5.184,-12.347,12.347,77,0.117,R
EMB-6926,Sinker,9,91.023,3.068,-14.24,14.24,77,0.117,R
EMB-6926,Curveball,8,81.121,-3.977,4.883,-4.883,77,0.104,R
EMB-8704,Fastball,27,89.91,13.437,-6.852,6.852,79,0.342,R
EMB-8704,Cutter,21,88.253,8.263,3.047,-3.047,79,0.266,R
EMB-8704,Changeup,10,83.274,12.398,-8.619,8.619,79,0.127,R
EMB-8704,Curveball,8,77.421,-9.799,6.084,-6.084,79,0.101,R
EMB-8704,Slider,8,83.97,7.086,5.581,-5.581,79,0.101,R
EMB-8704,Sinker,5,89.561,7.35,-9.368,9.368,79,0.063,R
EMB-9515,Cutter,13,89.649,10.927,2.325,-2.325,38,0.342,R
EMB-9515,Fastball,10,90.808,14.916,-9.156,9.156,38,0.263,R
EMB-9515,Sinker,6,90.625,5.274,-4.256,4.256,38,0.158,R
EXB-2220,Fastball,6,92.787,20.735,11.066,11.066,16,0.375,L
EXB-2485,Fastball,31,89.575,12.778,-5.543,5.543,75,0.413,R
EXB-2485,Changeup,13,81.323,10.266,-7.102,7.102,75,0.173,R
EXB-2485,Slider,13,80.758,2.264,9.325,-9.325,75,0.173,R
EXB-2485,Curveball,10,78.251,-4.157,15.785,-15.785,75,0.133,R
EXB-2485,Sinker,5,88.225,4.597,-9.217,9.217,75,0.067,R
EXB-3672,Fastball,21,90.12,19.986,-4.065,4.065,34,0.618,R
EXB-3672,Slider,9,77.942,-6.793,5.409,-5.409,34,0.265,R
EXB-4363,Fastball,29,91.018,20.728,9.65,9.65,67,0.433,L
EXB-4363,Changeup,13,79.765,11.609,15.055,15.055,67,0.194,L
EXB-4363,Cutter,12,88.553,18.675,3.881,3.881,67,0.179,L
EXB-4363,Curveball,8,82.468,-1.928,-1.452,-1.452,67,0.119,L
EXB-4925,Fastball,8,89.486,14.424,-11.45,11.45,15,0.533,R
EXB-4925,Slider,6,80.327,1.188,1.283,-1.283,15,0.4,R
EXB-7646,Fastball,9,95.413,12.587,8.929,8.929,20,0.45,L
EXB-7646,Slider,9,87.762,3.256,-2.315,-2.315,20,0.45,L
EXB-8269,Fastball,26,85.054,16.54,-4.86,4.86,72,0.361,R
EXB-8269,Slider,23,76.724,0.023,5.39,-5.39,72,0.319,R
EXB-8269,Changeup,17,78.932,10.755,-7.739,7.739,72,0.236,R
EXB-8511,Fastball,18,92.613,17.956,-8.313,8.313,35,0.514,R
EXB-8511,Slider,6,82.743,5.37,3.044,-3.044,35,0.171,R
EXB-8511,Changeup,5,86.225,6.9,-10.377,10.377,35,0.143,R
FET-1001,Fastball,17,93.995,9.04,-8.491,8.491,41,0.415,R
FET-1001,Slider,14,82.748,2.089,3.232,-3.232,41,0.341,R
FET-1981,Fastball,9,91.919,15.362,2.955,2.955,18,0.5,L
FET-3796,Fastball,31,93.33,10.282,-12.257,12.257,74,0.419,R
FET-3796,Slider,14,82.652,1.137,2.551,-2.551,74,0.189,R
FET-3796,Changeup,12,85.135,5.556,-13.962,13.962,74,0.162,R
FET-3796,Curveball,8,82.764,-5.025,2.032,-2.032,74,0.108,R
FET-3796,Sinker,5,92.306,3.557,-12.15,12.15,74,0.068,R
FET-4179,Fastball,9,96.844,17.668,-5.697,5.697,17,0.529,R
FET-4561,Cutter,5,98.296,16.569,-1.858,1.858,17,0.294,R
FET-5440,Fastball,14,93.806,10.651,-4.816,4.816,35,0.4,R
FET-5440,Slider,9,83.948,-2.466,4.216,-4.216,35,0.257,R
FET-5440,Cutter,6,90.273,2.174,2.595,-2.595,35,0.171,R
FET-5538,Fastball,10,95.216,17.775,-4.694,4.694,18,0.556,R
FET-5642,Fastball,11,96.442,18.821,9.866,9.866,33,0.333,L
FET-5642,Cutter,10,93.88,12.77,-0.146,-0.146,33,0.303,L
FET-5693,Fastball,35,91.241,13.556,-13.238,13.238,83,0.422,R
FET-5693,Slider,19,83.301,6.405,0.578,-0.578,83,0.229,R
FET-5693,Changeup,9,82.847,7.459,-14.939,14.939,83,0.108,R
FET-5693,Curveball,8,83.861,-0.963,0.806,-0.806,83,0.096,R
FET-5693,Sinker,8,91.315,5.43,-16.943,16.943,83,0.096,R
FET-6012,Fastball,5,94.329,11.455,7.972,7.972,17,0.294,L
FET-6012,Sinker,5,94.012,5.245,11.47,11.47,17,0.294,L
FET-6519,Fastball,22,89.56,12.204,-8.682,8.682,72,0.306,R
FET-6519,Slider,22,79.596,3.687,3.469,-3.469,72,0.306,R
FET-6519,Changeup,11,82.172,9.05,-8.656,8.656,72,0.153,R
FET-6519,Cutter,10,87.37,7.979,0.872,-0.872,72,0.139,R
FET-6519,Curveball,5,87.653,-1.006,2.164,-2.164,72,0.069,R
FNQ-2690,Fastball,27,94.447,19.043,-11.78,11.78,53,0.509,R
FNQ-2690,Changeup,13,83.963,12.682,-13.121,13.121,53,0.245,R
FNQ-2690,Curveball,5,78.776,0.8,7.158,-7.158,53,0.094,R
FNQ-2690,Cutter,5,91.654,7.731,-3.183,3.183,53,0.094,R
FNQ-2701,Fastball,26,87.496,16.632,-8.16,8.16,62,0.419,R
FNQ-2701,Changeup,21,79.505,7.907,-14.606,14.606,62,0.339,R
FNQ-2701,Slider,6,77.218,3.122,1.278,-1.278,62,0.097,R
FNQ-4178,Fastball,9,92.758,16.927,1.431,1.431,28,0.321,L
FNQ-4178,Sinker,6,93.415,10.691,4.977,4.977,28,0.214,L
FNQ-4178,Cutter,5,91.895,15.979,-0.319,-0.319,28,0.179,L
FNQ-4818,Fastball,9,93.098,9.714,13.47,13.47,21,0.429,L
FNQ-4818,Slider,8,85.679,2.254,-4.74,-4.74,21,0.381,L
FNQ-4878,Slider,25,68.416,-14.678,-14.89,-14.89,46,0.543,L
FNQ-4878,Fastball,16,85.61,18.595,5.167,5.167,46,0.348,L
FNQ-4878,Changeup,5,67.261,-16.447,-4.683,-4.683,46,0.109,L
FNQ-6258,Fastball,13,95.811,17.432,-11.725,11.725,33,0.394,R
FNQ-6258,Slider,8,86.082,7.139,-0.871,0.871,33,0.242,R
FNQ-6258,Changeup,5,86.724,8.688,-15.136,15.136,33,0.152,R
FNQ-6412,Fastball,34,91.471,12.622,-1.135,1.135,67,0.507,R
FNQ-6412,Slider,15,82.629,2.597,6.156,-6.156,67,0.224,R
FNQ-6412,Curveball,6,82.781,-0.284,1.729,-1.729,67,0.09,R
FNQ-6412,Cutter,5,88.981,7.713,6.141,-6.141,67,0.075,R
FNQ-6827,Fastball,11,90.088,18.688,-5.994,5.994,25,0.44,R
FNQ-6827,Changeup,6,84.694,9.562,-14.341,14.341,25,0.24,R
FNQ-7681,Changeup,17,77.733,14.18,11.857,11.857,43,0.395,L
FNQ-7681,Fastball,14,91.824,17.604,7.909,7.909,43,0.326,L
FNQ-7681,Cutter,5,91.065,18.324,1.172,1.172,43,0.116,L
FNQ-8041,Fastball,37,91.38,13.847,-13.768,13.768,75,0.493,R
FNQ-8041,Slider,13,80.671,1.901,-2.437,2.437,75,0.173,R
FNQ-8041,Changeup,11,84.5,10.71,-16.304,16.304,75,0.147,R
FNQ-8041,Curveball,9,83.982,-0.284,2.766,-2.766,75,0.12,R
FNQ-8334,Fastball,29,87.974,18.333,-7.664,7.664,61,0.475,R
FNQ-8334,Slider,18,77.603,2.415,4.948,-4.948,61,0.295,R
FSD-7189,Fastball,37,88.546,14.325,-9.879,9.879,81,0.457,R
FSD-7189,Slider,18,72.522,-1.929,5.181,-5.181,81,0.222,R
FSD-7189,Changeup,8,81.661,8.315,-14.645,14.645,81,0.099,R
FSD-7189,Curveball,6,71.504,-7.798,10.023,-10.023,81,0.074,R
FSD-7189,Cutter,6,86.12,6.357,0.206,-0.206,81,0.074,R
FSD-7189,Sinker,6,86.193,5.907,-8.895,8.895,81,0.074,R
FXP-1536,Fastball,19,87.904,15.64,8.473,8.473,40,0.475,L
FXP-1536,Cutter,8,86.071,9.512,2.035,2.035,40,0.2,L
FXP-1536,Curveball,5,78.448,-1.045,2.063,2.063,40,0.125,L
FXP-1725,Cutter,11,87.144,18.675,7.492,-7.492,40,0.275,R
FXP-1725,Fastball,9,89.322,16.807,1.735,-1.735,40,0.225,R
FXP-1725,Changeup,6,81.125,8.069,-2.436,2.436,40,0.15,R
FXP-1725,Curveball,5,76.846,-2.503,-0.208,0.208,40,0.125,R
FXP-1725,Sinker,5,88.712,7.162,-4.942,4.942,40,0.125,R
FXP-1957,Fastball,15,92.537,19.964,-7.543,7.543,47,0.319,R
FXP-1957,Changeup,13,84.747,8.546,-11.272,11.272,47,0.277,R
FXP-1957,Cutter,7,91.825,11.825,-0.035,0.035,47,0.149,R
FXP-1957,Slider,6,83.558,9.222,-2.106,2.106,47,0.128,R
FXP-2560,Fastball,24,93.951,14.992,-6.312,6.312,47,0.511,R
FXP-2560,Curveball,7,81.241,-5.306,7.36,-7.36,47,0.149,R
FXP-2560,Slider,6,82.602,-3.599,2.942,-2.942,47,0.128,R
FXP-2745,Fastball,11,92.683,12.026,-9.491,9.491,25,0.44,R
FXP-2745,Cutter,7,89.623,3.655,0.437,-0.437,25,0.28,R
FXP-3040,Fastball,46,88.267,17.604,6.251,6.251,92,0.5,L
FXP-3040,Curveball,15,74.514,-0.658,-3.146,-3.146,92,0.163,L
FXP-3040,Cutter,12,85.731,9.906,-0.965,-0.965,92,0.13,L
FXP-3040,Changeup,9,80.084,12.149,7.277,7.277,92,0.098,L
FXP-3040,Sinker,5,87.035,8.365,6.301,6.301,92,0.054,L
FXP-3040,Slider,5,77.617,6.964,0.42,0.42,92,0.054,L
FXP-3968,Fastball,30,90.538,14.75,-2.531,2.531,65,0.462,R
